Ngày cào,Mã sản phẩm,Mã shop,Mã danh mục,Tên sản phẩm,Giá bán hiển thị trên feed,Giảm giá hiển thị trên feed,Đã bán,Nhãn,Ưu đãi,Chỉ báo khuyến mãi,Đánh giá,Địa chỉ,Danh mục sản phẩm,Link
23/03/2025,16870222597,18363975,100630,"Sữa Rửa Mặt Simple Refreshing Facial Wash 150ml - Dịu Nhẹ Cho Da Dầu Mụn, Nhạy Cảm- Dr Thêm",₫95.000,-37%,"Đã bán 97,8k",Mall,Không có ưu đãi,Mua để nhận quà,4.9,Không có thông tin,sữa rửa mặt,https://tinyurl.com/2c2mwf75
23/03/2025,29173729285,60338102,100630,Sữa Rửa Mặt Hada Labo Advanced Nourish / Perfect White / Acne Care / Pro Anti Aging Cleanser 80g,₫69.000,-17%,Đã bán 3k,Yêu thích,Không có ưu đãi,Rẻ Vô Địch,4.9,Hà Nội,sữa rửa mặt,https://tinyurl.com/26pbsgds
23/03/2025,19092992042,681524496,100630,"Sữa Rửa Mặt Bùn Khoáng NISHINI Ngăn Ngừa Mụn, Sáng Da, Dưỡng Ẩm 100ml",₫110.000,-31%,"Đã bán 2,3k",Yêu thích,Giảm ₫20k,Rẻ Vô Địch,4.9,Hà Nội,sữa rửa mặt,https://tinyurl.com/224ohkk8
23/03/2025,27018986851,673879063,100630,"COMBO Sữa rửa mặt Cerave 236ml dưỡng ẩm sữa rửa mặt cho da dầu mụn ,da khô và Sữa rửa mặt dịu nhẹ Cetaphil 473ml",₫100.000,-67%,"Đã bán 1,7tr",Không có nhãn,Không có ưu đãi,Không có,4.4,Hà Nội,sữa rửa mặt,https://tinyurl.com/2xlsplxw
23/03/2025,26072045807,175753395,100630,Sữa rửa mặt sen Hậu Giang Cocoon 140ml,₫195.000,Không giảm giá,"Đã bán 6,7k",Mall,Không có ưu đãi,Mua để nhận quà,4.9,Không có thông tin,sữa rửa mặt,https://tinyurl.com/2cpdpz6s
23/03/2025,1853741392,118768792,100630,Sữa rửa mặt cho nam sạch dầu nhờn ngừa mụn Men Stay Simplicity Facial Cleanser 100g,₫141.000,-17%,"Đã bán 46,2k",Mall,Không có ưu đãi,Rẻ Vô Địch - Mua Kèm Deal Sốc,4.9,Không có thông tin,sữa rửa mặt,https://tinyurl.com/26ldx47c
23/03/2025,25973228501,196261835,100630,Sữa rửa mặt LAIKOU hoa anh đào Nhật Bản kiềm dầu làm sạch mụn đầu đen thu nhỏ lỗ chân lông chuyên dụng 50g,₫30.800,-40%,"Đã bán 119,3k",Xử lý bởi Shopee,Không có ưu đãi,Rẻ Vô Địch - Mua 3 & giảm 3%,4.8,Nước ngoài,sữa rửa mặt,https://tinyurl.com/253qlob5
23/03/2025,28073664654,1429679757,100630,"sữa rửa mặt trắng da Vitamin C100g,CHÍNH HÃNG ĐỘC QUYỀN,Làm sạch lỗ chân lông Làm sáng dưỡng trắng da Rửa mặt tẩ",₫49.000,-51%,"Đã bán 1,1k",Không có nhãn,Không có ưu đãi,Không có,5.0,Hà Nội,sữa rửa mặt,https://tinyurl.com/2aynhxvd
23/03/2025,25239710126,874205346,100630,Sữa Rửa Mặt Round Lab 1025 Dokdo Cleanser 150ml loại bỏ bụi bẩn dầu thừa (skincare),₫215.000,-46%,Đã bán 588,Không có nhãn,65% Giảm,Rẻ Vô Địch,5.0,Hà Nội,sữa rửa mặt,https://tinyurl.com/29wzppzw
23/03/2025,29074990231,1075146722,100630,"Sữa Rửa Mặt Trà Xanh Rau Má Sica White 100Ml, Ngăn Ngừa Và Hỗ Trợ Da Dầu Mụn - SICA WHITE",₫29.000,Không giảm giá,Đã bán 410,Yêu thích,Không có ưu đãi,Không có,4.6,TP. Hồ Chí Minh,sữa rửa mặt,https://tinyurl.com/2ya6jf93
23/03/2025,19884169520,196261835,100630,Laikou Sữa Rửa Mặt cica 50g Làm Sạch Lỗ Chân Lông Chăm Sóc Da Nhạy Cảm,₫41.800,Không giảm giá,"Đã bán 6,5k",Xử lý bởi Shopee,Không có ưu đãi,Rẻ Vô Địch,4.8,Nước ngoài,sữa rửa mặt,https://tinyurl.com/2dzyyt6r
